Label,LeftEyebrow,RightEyebrow,LeftLip,RightLip,LipHeight,LipWidth,LeftEyeHeight,LeftEyeWidth,RightEyeHeight,RightEyeWidth,LipsToNose,NoseHeight,NoseWidth,LeftEyeToLeftLip,RightEyeToRightLip
Joy,5.644484,5.722929,7.575274,7.616168,2.907778,7.06082,1.090062,2.535629,1.164347,1.250503,3.903137,12.50097,8.049377,2.874556,2.848945
Joy,6.429546,5.789746,6.359032,6.345412,2.348881,5.402426,1.102822,2.500811,1.040063,1.128733,3.34767,8.567135,6.78253,3.039093,2.918199
Joy,6.470925,5.983249,6.382542,7.570025,2.219128,6.596168,1.126055,2.536927,1.046433,1.174773,3.215528,13.44943,8.001143,3.147701,2.590658
Joy,6.500556,6.450537,7.455673,7.209664,2.139956,6.902898,1.14136,2.418957,1.036327,1.104164,3.138471,11.81305,8.553041,2.604096,2.506011
Joy,5.925783,5.863925,5.550287,6.335176,1.890914,5.195939,1.141719,2.240911,1.11276,1.160629,2.889444,9.757457,6.874308,3.111152,2.680112
Joy,6.271682,6.427937,7.23625,6.486312,2.170608,6.450104,1.11763,2.523535,1.124251,1.171216,3.165317,13.23095,8.140402,2.667084,3.189035
Joy,6.77232,6.961717,6.995306,6.084771,1.889241,6.268112,1.069768,2.586413,1.028991,1.047323,2.889237,15.23469,7.629731,2.549016,2.785
Joy,5.179415,5.209328,8.404005,9.914111,3.71888,9.060436,1.038133,2.893624,1.052899,1.052899,4.695291,14.88781,9.730437,2.273331,2.174639
Joy,6.052494,5.710329,9.652901,10.36071,3.528039,9.895038,0.9835244,2.403701,1.057683,0.9698726,4.525743,13.36131,9.884907,3.360317,2.80091
Joy,5.470326,5.243817,6.405829,6.939557,2.198109,5.983476,1.0469,2.596151,1,1.144121,3.198081,11.48873,7.237604,2.887543,2.699273
Joy,6.920297,6.646926,8.799911,8.046808,3.221253,8.436963,1.116048,2.35465,1.159762,1.201703,4.219005,17.76441,9.774672,3.611558,3.25346
Joy,6.328579,6.371813,7.86132,7.497606,2.927592,7.250877,1.11763,2.524251,1.04474,1.078906,3.924622,11.12815,8.407106,3.051362,3.200372
Joy,5.681692,5.626441,6.752477,6.651963,2.254994,6.060115,1.11763,2.524251,1.073042,1.090539,3.25346,10.53306,7.457161,3.003524,3.213014
Joy,5.572389,5.640336,10.40393,11.02933,3.89409,10.42145,1.030158,2.620173,1,1.019804,4.892282,18.72308,11.19607,2.841294,2.69028
Joy,5.916109,6.084739,6.181246,5.728122,1.884825,5.256269,1.116522,2.443967,1.1094,1.179309,2.88322,10.40563,7.058319,2.647974,3.361777
Joy,5.850204,5.509088,7.567488,7.940248,2.861091,7.056034,0.9718253,2.758824,0.9657342,0.9657342,3.860396,10.58324,8.240197,3.44,3.044764
Joy,6.179958,6.293395,10.2815,9.671366,3.073805,10.0485,0.9302605,2.483794,1,1.056352,4.069229,12.03006,10.08807,2.85951,2.8288
